suite,environment,pair_key,grid_size,robot_count,algorithm,top_k_rate,top_k_max_cells,top_k_basis,comm_model,comm_level,trial_id,max_steps_any_robot,total_step_degradation,total_step_degradation_pct
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.75,38,initial_targets,ideal,,98,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.75,38,initial_targets,ideal,,99,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,0,51.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,1,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,2,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,3,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,4,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,5,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,6,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,7,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,8,58.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,9,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,10,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,11,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,12,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,13,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,14,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,15,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,16,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,17,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,18,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,19,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,20,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,21,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,22,37.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,23,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,24,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,25,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,26,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,27,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,28,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,29,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,30,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,31,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,32,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,33,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,34,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,35,37.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,36,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,37,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,38,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,39,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,40,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,41,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,42,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,43,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,44,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,45,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,46,57.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,47,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,48,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,49,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,50,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,51,49.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,52,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,53,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,54,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,55,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,56,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,57,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,58,35.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,59,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,60,57.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,61,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,62,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,63,56.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,64,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,65,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,66,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,67,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,68,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,69,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,70,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,71,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,72,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,73,53.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,74,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,75,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,76,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,77,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,78,49.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,79,35.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,80,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,81,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,82,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,83,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,84,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,85,54.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,86,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,87,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,88,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,89,53.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,90,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,91,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,92,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,93,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,94,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,95,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,96,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,97,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,98,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,99,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,0,51.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,1,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,2,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,3,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,4,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,5,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,6,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,7,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,8,58.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,9,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,10,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,11,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,12,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,13,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,14,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,15,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,16,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,17,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,18,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,19,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,20,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,21,39.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,22,37.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,23,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,24,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,25,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,26,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,27,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,28,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,29,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,30,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,31,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,32,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,33,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,34,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,35,37.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,36,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,37,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,38,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,39,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,40,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,41,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,42,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,43,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,44,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,45,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,46,57.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,47,36.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,48,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,49,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,50,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,51,49.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,52,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,53,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,54,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,55,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,56,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,57,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,58,35.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,59,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,60,57.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,61,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,62,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,63,56.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,64,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,65,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,66,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,67,45.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,68,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,69,52.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,70,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,71,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,72,50.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,73,53.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,74,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,75,47.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,76,48.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,77,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,78,49.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,79,35.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,80,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,81,38.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,82,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,83,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,84,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,85,54.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,86,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,87,42.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,88,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,89,53.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,90,44.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,91,40.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,92,41.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,93,46.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,94,43.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,95,48.0,0.0,0.0
